"(2.686717138666737, 8.117132519483315)","(0.5547126578933348, 0.9129601094985247)","(2.63941972364604, 11.377947618428548)","(0.9790522046554996, 1.0710204159614396)","(2.272423190999308, 7.458005362234976)","(24.89798730203747, 315.43425380594897)","(1.056368921464906, 0.8528717672900923)","(2.6773345305313305, 6.553528390771236)","(1.3657442317180195, 3.701901240104986)","(1.823886495456387, 4.437563131389552)","(1.5867473357405142, 2.0775648553985446)","(2.1598687817012467, 5.315121851603657)"
"(0.6158879337156804, 0.5695799816684046)","(0.514333978415577, 0.613318685220838)","(1.3517071176643647, 2.415327520693851)",n/a,"(2.2305273804798595, 0.7958589302930761)","(0.38386862639199043, 0.5758616083517341)","(0.49690506180158744, 0.40413796753469167)","(4.146874959777044, 0.8932472592611268)",n/a,"(1.2854754469404464, 0.7385703192825265)",n/a,"(0.5323808880992189, 0.7665722950852758)"
"(1.9082452988975085, 4.288151838132929)","(1.6107984234357633, 2.3311344249877797)","(2.6776618592050916, 9.320455407277315)","(1.317830760152178, 2.7482356213617662)","(1.9902007697419184, 7.192103260114811)","(2.026646505468653, 3.3209787551694427)","(1.32018795880989, 0.9645557244804035)","(1.7771036456239744, 3.254108363408358)","(0.967496775496508, 0.8917868308283261)","(8.572499621954758, 214.32405497894626)","(1.5368705582027986, 3.046485115124383)","(2.60206288275335, 5.329520808914296)"
"(1.3431585100009173, 2.6934996532859294)",n/a,"(0.9138647514238389, 1.4137283412992405)","(1.6128234536483648, 1.811454166897931)","(0.9358330302804307, 1.042215383491801)","(1.4131374450562282, 2.7604440096231464)",n/a,"(1.2534778783538507, 1.3639299207631725)","(0.9064807383429319, 0.684071398585296)",n/a,"(1.9121423919592737, 2.597520222856885)","(0.13206149073070755, 0.12485184964802862)"
"(2.407442168937202, 6.976046377985742)","(0.8524892866135891, 0.7168165974892704)","(2.4695186634821447, 9.467726246397323)","(0.8730350245414489, 1.085435178208524)","(1.4136543754913546, 3.32517311306785)","(2.335280790967099, 9.186227894796886)","(71707348.49863401, 90.17100996655599)","(1.3272144967827417, 2.6232952877317537)","(0.8460428686788269, 6.4239925911721)","(1.72243913525367, 4.038279947939811)","(1.2032145410006194, 0.8130362056179254)","(3.9794876109440884, 2.684241103667272)"
"(25.66447214089059, 7779405.367735427)","(1.0368435457745608, 1.0213531747843074)","(1.6852737087920133, 2.8542613777686823)","(1.364342938373986, 1.7942832454793733)","(2.694885216162132, 9.728243735890857)","(2.099790400005305, 3.054456073708896)","(1.4991598962866346, 3.713549588106874)","(28.500864461218406, 43289395.13738305)","(1.476297181280575, 6.277604268134905)","(1.4649388002685702, 2.415143905182342)","(2.8459492926607552, 5.115225054054363)","(2.016373535643446, 3.429276180587647)"
"(0.19806945041531954, 0.23168505479268942)","(1.0522619423405983, 1.0088697863524316)","(1.2748704161667233, 1.2209278569774766)","(1.0418142670641641, 1.008392641847453)","(3326707.444045771, 8.05016142760637)","(1.339087611333209, 0.8633239310209502)","(0.4567830699628201, 0.9723429519715434)","(1.3809478022307715, 1.9315256741870166)",n/a,"(2.3843621995929114, 1.50539687790944)","(1.0404500001086951, 1.0152617144843537)","(2.0187477271722285, 0.7690180056450189)"
"(1.760299120694566, 5.4389718944729895)","(1.4999033655441076, 0.677853250256462)","(1.8118633679740106, 3.091625388079358)","(1.168529231572092, 1.468870791209956)","(2.305220325444877, 9.129645990170081)","(4.224845164770771, 15.111455599923497)","(1.3257920743128333, 1.7044719990421515)","(1.6117321416428543, 3.387292731650331)","(1.2599426663505087, 1.4103044516133225)","(2.5205318333371505, 9.105258095922126)","(1.5200355305150728, 1.579571040036154)","(1.7432072829806096, 2.3068890745811865)"
"(1.1219446507546174, 0.9171252283824214)",n/a,"(1.175675900493955, 0.8551081528568907)","(0.8612480504993996, 1.7608025814646775)","(1.341391732931735, 0.6610580326727484)","(1.0823312179833178, 1.4772609552832567)","(1.577112981945898, 0.40874896500410285)","(1.5803202059417645, 2.4411616606474955)","(0.8811185140348061, 0.9101297122979937)","(2.2042928443301686, 4.467295459935277)","(5.075439168399939, 6.973785879615791)","(986262.3282070013, 30.710362120942193)"
"(2.588908114099094, 11.099329427220294)","(0.4388048739829584, 0.3667759307960087)","(30.45049186981754, 1985.7403860122376)","(0.19768801457345703, 0.1831023414592188)","(2.072619898902098, 3.280698888296695)","(193.9928324863921, 2811.610273698253)","(1.1473552448613922, 1.1266319714672122)","(2.2879145649743506, 7.399149166244595)","(61.903451307109634, 127130340.72995481)","(55.5316582516713, 193016.33606896625)","(4.319257341888999, 5.4920062399216185)","(1.7644778069752396, 2.7246731685213885)"
"(2.02927354354572, 3.5105411050629787)",n/a,"(1.609365052747687, 3.486976233097187)","(1.978301452631856, 2.319170932666594)","(0.48868194054113373, 0.1338546794699247)","(1.421292537767701, 3.006861829664416)","(0.7916548640547109, 1.335576490944875)","(1.5121834207501412, 1.826511466702824)","(1.5033193080327931, 2.0222771378789384)","(3.571555415880746, 4.064149784835162)","(1.0141752714797714, 1.519163357234118)","(1.3760937581992656, 1.0695570390490603)"
"(1.1138010785767016, 2.51350709169746)","(2.056646917744725, 0.8918911832213587)","(2.8986387267588567, 5.1606610041869825)","(0.5194770541235929, 0.4437373172030153)","(1.552097466032421, 1.3498983588339382)","(1.4294479697175113, 1.4250504281637255)","(0.7475948551737504, 0.8939254249117911)","(1.5255798262411622, 2.295621991939533)","(0.592462368156545, 3.2108584888813425)","(2.827882108258136, 6.05624290033918)","(0.8520741124158021, 0.8981789103019933)","(1.6539180609422077, 2.4203429468617887)"
